  	B:  1.681944E8
  	S:  2.06337456E8
  	早盘竞价交易:  1.2618246E7
  	尾盘竞价交易:  3921852.0
  	不明交易:  338246.0
  	总计:3.91410176E8

 	 价格：4.38  	 小计：7.2732224E7
 	 价格：4.4  	 小计：5.403552E7
 	 价格：4.39  	 小计：5.2020576E7
 	 价格：4.37  	 小计：4.4548592E7
 	 价格：4.45  	 小计：3.141164E7
 	 价格：4.41  	 小计：2.730006E7
 	 价格：4.44  	 小计：2.124762E7
 	 价格：4.43  	 小计：1.8343732E7
 	 价格：4.49  	 小计：1.6731535E7
 	 价格：4.42  	 小计：1.2677002E7
 	 价格：4.48  	 小计：1.2589696E7
 	 价格：4.46  	 小计：1.1447036E7
 	 价格：4.47  	 小计：8380356.0
 	 价格：4.36  	 小计：7944792.0

	 时间-9:55	 价格-4.42	 笔数-1289  	 交易帐户数（假想）-43	 被动买还是主动买-S	 小计-569738.0
	 时间-9:33	 价格-4.46	 笔数-1260  	 交易帐户数（假想）-35	 被动买还是主动买-B	 小计-561960.0
	 时间-9:31	 价格-4.46	 笔数-1259  	 交易帐户数（假想）-81	 被动买还是主动买-S	 小计-561514.0
	 时间-14:13	 价格-4.38	 笔数-1280  	 交易帐户数（假想）-7	 被动买还是主动买-S	 小计-560640.06
	 时间-9:35	 价格-4.43	 笔数-1263  	 交易帐户数（假想）-20	 被动买还是主动买-S	 小计-559509.0
	 时间-9:32	 价格-4.45	 笔数-1256  	 交易帐户数（假想）-24	 被动买还是主动买-B	 小计-558920.0
	 时间-14:54	 价格-4.37	 笔数-1265  	 交易帐户数（假想）-55	 被动买还是主动买-B	 小计-552805.0
	 时间-14:07	 价格-4.38	 笔数-1230  	 交易帐户数（假想）-2	 被动买还是主动买-S	 小计-538740.0
	 时间-9:40	 价格-4.46	 笔数-1202  	 交易帐户数（假想）-9	 被动买还是主动买-B	 小计-536092.0
	 时间-9:36	 价格-4.43	 笔数-1188  	 交易帐户数（假想）-28	 被动买还是主动买-B	 小计-526284.0
	 时间-9:34	 价格-4.46	 笔数-1180  	 交易帐户数（假想）-13	 被动买还是主动买-B	 小计-526280.0
	 时间-14:33	 价格-4.37	 笔数-1200  	 交易帐户数（假想）-11	 被动买还是主动买-S	 小计-524400.0
	 时间-10:33	 价格-4.4	 笔数-1186  	 交易帐户数（假想）-3	 被动买还是主动买-S	 小计-521840.0
	 时间-9:52	 价格-4.44	 笔数-1175  	 交易帐户数（假想）-25	 被动买还是主动买-B	 小计-521700.0
	 时间-9:56	 价格-4.41	 笔数-1162  	 交易帐户数（假想）-28	 被动买还是主动买-S	 小计-512442.0
	 时间-9:40	 价格-4.44	 笔数-1142  	 交易帐户数（假想）-17	 被动买还是主动买-S	 小计-507048.0
	 时间-10:05	 价格-4.39	 笔数-1155  	 交易帐户数（假想）-30	 被动买还是主动买-S	 小计-507044.97
	 时间-9:32	 价格-4.45	 笔数-1136  	 交易帐户数（假想）-36	 被动买还是主动买-B	 小计-505519.97
