10:02 20.1 253 27 B
10:02 20.09 278 33 S
10:02 20.08 794 43 S
10:02 20.09 501 21 B
10:02 20.09 175 19 B
10:03 20.09 236 26 B
10:03 20.08 288 16 S
10:03 20.08 255 33 S
10:03 20.09 999 67 B
10:03 20.1 426 51 B
10:03 20.09 392 43 S
10:03 20.1 371 25 B
10:03 20.09 272 31 S
10:03 20.1 339 30 B
10:03 20.1 333 42 B
10:03 20.11 366 39 B
10:03 20.12 1581 53 B
10:03 20.12 345 25 S
10:03 20.14 994 25 B
10:03 20.14 69 11 S
10:03 20.14 472 38 S
10:03 20.15 127 28 B
10:03 20.15 534 35 B
10:03 20.14 714 54 S
10:03 20.15 408 38 B
10:04 20.15 716 36 B
10:04 20.15 869 47 S
10:04 20.15 1243 61 S
10:04 20.15 472 53 S
10:04 20.15 774 65 S
10:04 20.15 545 41 B
10:04 20.13 284 34 S
10:04 20.13 657 55 B
10:04 20.1 1084 81 S
10:04 20.08 513 45 S
10:04 20.08 3491 44 S
10:04 20.06 497 37 S
10:04 20.06 756 76 S
10:04 20.03 493 47 S
10:04 20.02 754 16 S
10:04 19.98 6302 323 S
10:04 19.96 344 25 S
10:04 19.96 1488 70 S
10:04 19.94 820 93 S
10:04 19.91 481 35 S
10:05 19.91 860 39 S
10:05 19.91 1985 58 S
10:05 19.96 3335 83 B
10:05 19.9 1489 90 S
10:05 19.94 495 41 B
10:05 19.9 819 66 S
10:05 19.91 3021 189 S
10:05 19.92 1939 64 B
10:05 19.93 1832 56 B
10:05 19.9 1027 93 S
10:05 19.91 806 94 
10:05 19.9 1360 63 S
10:05 19.9 1873 54 B
10:05 19.9 1366 73 B
10:05 19.89 1835 145 S
10:05 19.87 1259 135 S
10:05 19.89 1475 84 B
10:05 19.85 1331 117 S
10:05 19.84 967 59 S
10:05 19.84 485 63 B
10:06 19.83 813 65 S
10:06 19.86 1609 85 B
10:06 19.83 2134 70 S
10:06 19.85 531 35 B
10:06 19.86 1232 45 B
10:06 19.86 1108 47 S
10:06 19.87 833 50 B
10:06 19.87 739 56 S
10:06 19.86 483 77 S
10:06 19.86 891 74 S
10:06 19.87 1414 102 B
10:06 19.86 671 66 S
10:06 19.86 875 55 B
10:06 19.86 851 65 B
10:06 19.85 2242 162 S
10:06 19.85 2757 78 B
10:06 19.85 1381 50 B
10:06 19.83 1798 63 S
10:06 19.85 504 51 B
10:06 19.84 628 50 S
10:07 19.83 1221 63 S
10:07 19.84 1920 98 B
10:07 19.83 1079 126 S
10:07 19.83 1872 80 B
10:07 19.83 1720 71 B
10:07 19.81 4111 140 S
10:07 19.8 3008 254 S
10:07 19.8 3812 192 S
10:07 19.78 2090 147 S
10:07 19.77 1226 114 S
10:07 19.77 1020 35 B
10:07 19.77 3418 68 S
10:07 19.79 5012 100 B
10:07 19.79 1584 97 B
10:07 19.77 1949 83 S
10:07 19.78 2179 100 B
10:07 19.79 689 66 B
10:07 19.79 3069 96 S
10:07 19.78 1157 89 
10:07 19.77 2166 137 S
10:08 19.8 3891 142 B
10:08 19.76 2044 92 S
10:08 19.77 673 54 B
10:08 19.77 839 40 S
10:08 19.78 868 51 S
10:08 19.78 1391 61 B
10:08 19.78 1174 70 S
10:08 19.77 1344 108 S
10:08 19.77 1397 65 B
10:08 19.78 883 89 B
10:08 19.78 833 90 B
10:08 19.76 716 79 S
10:08 19.78 608 72 B
10:08 19.78 357 46 B
10:08 19.79 1417 59 B
10:08 19.78 689 51 S
10:08 19.79 1232 78 B
10:08 19.8 460 40 
10:08 19.8 157 33 S
10:08 19.81 262 35 
10:09 19.82 1014 80 B
10:09 19.83 955 59 B
10:09 19.82 698 63 S
10:09 19.81 692 52 S
10:09 19.83 448 47 B
10:09 19.8 1990 87 S
10:09 19.8 736 47 B
10:09 19.8 602 46 B
10:09 19.8 1228 60 S
10:09 19.8 827 59 B
10:09 19.8 834 54 B
10:09 19.8 781 65 B
10:09 19.79 4431 180 S
10:09 19.79 451 37 B
10:09 19.78 236 22 S
10:09 19.78 1635 28 S
10:09 19.78 1114 51 S
10:09 19.78 819 45 B
10:09 19.78 622 45 B
10:09 19.77 1060 50 S
10:10 19.77 1786 48 S
10:10 19.77 1729 51 S
10:10 19.76 1010 122 S
10:10 19.76 611 85 S
10:10 19.76 300 46 B
10:10 19.76 556 37 B
10:10 19.75 909 112 S
10:10 19.76 583 66 B
10:10 19.76 869 72 S
10:10 19.76 421 19 S
10:10 19.75 1263 67 S
10:10 19.76 477 54 B
10:10 19.76 798 67 S
10:10 19.77 1289 81 B
10:10 19.77 984 39 S
10:10 19.79 1515 51 B
10:10 19.77 1042 59 S
10:10 19.79 659 33 B
10:10 19.79 797 46 B
10:10 19.8 655 47 B
10:11 19.8 1086 44 B
10:11 19.8 225 24 B
10:11 19.8 1098 69 B
10:11 19.8 392 40 B
10:11 19.8 470 42 B
10:11 19.8 406 25 S
10:11 19.8 1534 92 S
10:11 19.79 2005 127 S
10:11 19.79 957 34 B
10:11 19.79 377 50 B
10:11 19.79 492 46 B
10:11 19.79 1660 71 B
10:11 19.78 448 34 B
10:11 19.79 518 39 B
10:11 19.8 1977 79 B
10:11 19.78 2660 88 S
10:11 19.79 124 16 
10:11 19.8 378 19 B
10:11 19.8 638 42 B
10:11 19.79 181 29 S
10:12 19.79 437 45 S
10:12 19.79 292 26 B
10:12 19.78 344 40 S
10:12 19.78 977 67 S
10:12 19.78 850 38 S
10:12 19.78 304 28 S
10:12 19.79 697 40 B
10:12 19.8 286 36 B
10:12 19.79 2309 93 S
10:12 19.79 387 40 B
10:12 19.77 845 67 S
10:12 19.76 2445 101 S
10:12 19.75 2609 71 S
10:12 19.75 2642 142 S
10:12 19.75 1896 165 S
10:12 19.72 9164 303 S
10:12 19.7 1289 46 S
10:12 19.7 1466 216 S
10:12 19.7 2567 118 S
10:12 19.7 1106 93 S
10:13 19.69 1784 79 S
10:13 19.69 798 59 S
10:13 19.68 1109 60 S
10:13 19.67 1445 137 S
10:13 19.67 3373 162 B
10:13 19.66 519 46 B
10:13 19.65 735 71 S
10:13 19.65 1120 48 B
10:13 19.62 717 46 S
10:13 19.62 468 37 S
10:13 19.62 532 46 B
10:13 19.61 1936 78 S
10:13 19.61 2949 212 S
10:13 19.59 369 50 S
10:13 19.59 664 49 S
10:13 19.59 743 72 B
10:13 19.58 838 91 
10:13 19.56 701 49 S
10:13 19.55 2512 88 S
10:13 19.53 914 68 S
10:14 19.52 1501 90 S
10:14 19.52 767 73 B
10:14 19.51 3396 188 S
10:14 19.5 1249 100 S
10:14 19.5 1893 216 S
10:14 19.5 1576 153 S
10:14 19.5 1109 93 B
10:14 19.5 2212 156 B
10:14 19.47 877 113 S
10:14 19.5 2146 139 B
10:14 19.5 3089 103 B
10:14 19.54 3036 164 B
10:14 19.55 2751 133 B
10:14 19.54 441 41 S
10:14 19.56 1904 66 B
10:14 19.55 283 52 S
10:14 19.55 1679 51 S
10:14 19.58 1165 81 B
10:14 19.55 1032 91 S
10:14 19.57 635 72 B
10:15 19.55 606 68 S
10:15 19.56 298 49 B
10:15 19.58 309 41 B
10:15 19.58 368 33 B
10:15 19.56 920 61 S
10:15 19.57 1910 112 
10:15 19.58 1399 75 B
10:15 19.58 165 18 S
10:15 19.59 598 68 B
10:15 19.59 613 69 B
10:15 19.59 432 42 S
10:15 19.6 324 50 B
10:15 19.6 292 39 B
10:15 19.61 405 54 B
10:15 19.61 1250 69 B
10:15 19.61 653 49 B
10:15 19.62 376 33 B
10:15 19.62 400 41 B
10:15 19.62 429 43 B
10:15 19.63 470 42 B
10:16 19.63 260 26 B
10:16 19.63 372 20 B
10:16 19.63 685 34 B
10:16 19.63 243 22 S
10:16 19.63 3174 145 S
10:16 19.63 921 63 B
10:16 19.63 1322 75 B
10:16 19.63 998 75 B
10:16 19.62 2201 75 S
10:16 19.63 1037 87 S
10:16 19.63 792 44 B
10:16 19.62 420 41 S
10:16 19.62 1804 61 B
10:16 19.61 870 90 S
10:16 19.61 349 51 B
10:16 19.61 237 40 B
10:16 19.61 1113 52 B
10:16 19.61 885 107 
10:16 19.6 477 52 
10:16 19.59 161 25 S
10:17 19.61 1088 71 B
10:17 19.58 2908 129 S
10:17 19.6 291 25 B
10:17 19.63 421 44 B
10:17 19.62 337 35 S
10:17 19.64 890 42 B
10:17 19.64 2682 41 B
10:17 19.64 1363 64 S
10:17 19.66 176 38 B
10:17 19.66 182 22 B
10:17 19.66 879 45 S
10:17 19.68 154 13 B
10:17 19.68 324 23 B
10:17 19.69 69 10 B
10:17 19.69 346 30 B
10:17 19.68 218 23 S
10:17 19.7 554 23 B
10:17 19.7 859 41 B
10:17 19.7 214 35 B
10:17 19.71 1418 97 B
10:18 19.7 791 51 S
10:18 19.74 281 43 B
10:18 19.72 1181 87 S
10:18 19.72 105 12 S
10:18 19.74 290 31 B
10:18 19.75 548 36 B
10:18 19.73 489 62 S
10:18 19.76 447 21 B
10:18 19.75 451 15 S
10:18 19.76 528 33 
10:18 19.75 591 53 S
10:18 19.78 93 18 B
10:18 19.76 502 75 S
10:18 19.78 534 34 B
10:18 19.79 295 21 B
10:18 19.79 395 45 B
10:18 19.78 292 23 S
10:18 19.79 971 51 B
10:18 19.79 272 19 S
10:18 19.78 319 37 S
10:19 19.79 768 41 B
10:19 19.8 171 13 B
10:19 19.81 876 45 B
10:19 19.8 177 26 S
10:19 19.81 184 27 B
10:19 19.79 807 59 S
10:19 19.8 774 35 S
10:19 19.8 1072 69 B
10:19 19.79 143 22 
10:19 19.8 417 32 B
10:19 19.79 439 49 S
10:19 19.8 2500 104 B
